sentence_id|words|labels
10|Quispel|O
10|'s|O
10|scholarly|O
10|career|O
11|Their|O
11|composer|B-OTHER
11|has|O
11|sunk|O
11|into|O
11|oblivion|B-OTHER
12|The|O
12|Pulitzer|O
12|Committee|O
12|issues|O
12|an|O
12|official|O
12|citation|B-MESSAGE-TOPIC
12|explaining|O
12|the|O
12|reasons|B-MESSAGE-TOPIC
12|for|O
12|the|O
12|award|O
13|The|O
13|burst|B-CAUSE-EFFECT
13|has|O
13|been|O
13|caused|O
13|by|O
13|water|O
13|hammer|O
13|pressure|B-CAUSE-EFFECT
14|Even|O
14|commercial|O
14|networks|B-INSTRUMENT-AGENCY
14|have|O
14|moved|O
14|into|O
14|high-definition|B-INSTRUMENT-AGENCY
14|broadcast|I-INSTRUMENT-AGENCY
15|It|O
15|was|O
15|a|O
15|friendly|O
15|call|B-MESSAGE-TOPIC
15|to|O
15|remind|O
15|them|O
15|about|O
15|the|O
15|bill|B-MESSAGE-TOPIC
15|and|O
15|make|O
15|sure|O
15|they|O
15|have|O
15|a|O
15|copy|O
15|of|O
15|the|O
15|invoice|O
16|Texas-born|O
16|virtuoso|B-INSTRUMENT-AGENCY
16|finds|O
16|harmony|O
16|sophistication|O
16|in|O
16|Appalachian|O
16|instrument|B-INSTRUMENT-AGENCY
17|The|O
17|factory|B-PRODUCT-PRODUCER
17|'s|O
17|products|O
17|have|O
17|included|O
17|flower|O
17|pots|O
17|Finnish|O
17|rooster-whistles|O
17|pans|O
17|trays|B-PRODUCT-PRODUCER
17|tea|O
17|pots|O
17|ash|O
17|trays|B-PRODUCT-PRODUCER
17|and|O
17|air|O
17|moisturisers|O
18|The|O
18|girl|O
18|showed|O
18|a|O
18|photo|O
18|of|O
18|apple|O
18|tree|B-COMPONENT-WHOLE
18|blossom|B-COMPONENT-WHOLE
18|on|O
18|a|O
18|fruit|O
18|tree|B-COMPONENT-WHOLE
18|in|O
18|the|O
18|Central|O
18|Valley|O
19|They|O
19|tried|O
19|an|O
19|assault|O
19|of|O
19|their|O
19|own|O
19|an|O
19|hour|O
19|later|O
19|with|O
19|two|O
19|columns|O
19|of|O
19|sixteen|O
19|tanks|O
19|backed|O
19|by|O
19|a|O
19|battalion|B-MEMBER-COLLECTION
19|of|O
19|Panzer|O
19|grenadiers|B-MEMBER-COLLECTION
20|Their|O
20|knowledge|B-ENTITY-ORIGIN
20|of|O
20|the|O
20|power|O
20|and|O
20|rank|O
20|symbols|O
20|of|O
20|the|O
20|Continental|O
20|empires|O
20|was|O
20|gained|O
20|from|O
20|the|O
20|numerous|O
20|Germanic|O
20|recruits|B-ENTITY-ORIGIN
20|in|O
20|the|O
20|Roman|O
20|army|O
20|and|O
20|from|O
20|the|O
20|Roman|O
20|practice|O
20|of|O
20|enfeoffing|O
20|various|O
20|Germanic|O
20|warrior|O
20|groups|O
20|with|O
20|land|O
20|in|O
20|the|O
20|imperial|O
20|provinces|O
21|She|O
21|soon|O
21|had|O
21|a|O
21|stable|B-MEMBER-COLLECTION
21|of|O
21|her|O
21|own|O
21|rescued|O
21|hounds|B-MEMBER-COLLECTION
22|The|O
22|singer|B-CAUSE-EFFECT
22|who|O
22|performed|O
22|three|O
22|of|O
22|the|O
22|nominated|O
22|songs|O
22|also|O
22|caused|O
22|a|O
22|commotion|B-CAUSE-EFFECT
22|on|O
22|the|O
22|red|O
22|carpet|O
23|His|O
23|intellectually|O
23|engaging|O
23|books|O
23|and|O
23|essays|B-OTHER
23|remain|O
23|pertinent|O
23|to|O
23|illuminating|O
23|contemporary|O
23|history|B-OTHER
24|Poor|O
24|hygiene|O
24|controls|O
24|reports|O
24|of|O
24|a|O
24|brace|B-MEMBER-COLLECTION
24|of|O
24|gamey|O
24|grouse|B-MEMBER-COLLECTION
24|and|O
24|what|O
24|looked|O
24|like|O
24|a|O
24|skinned|O
24|fox|O
24|all|O
24|amounted|O
24|to|O
24|a|O
24|pie|O
24|that|O
24|was|O
24|unfit|O
24|for|O
24|human|O
24|consumption|O
25|This|O
25|sweet|O
25|dress|B-OTHER
25|is|O
25|made|O
25|with|O
25|a|O
25|blend|B-OTHER
25|of|O
25|cotton|O
25|and|O
25|silk|O
25|and|O
25|the|O
25|crochet|O
25|flower|O
25|necklace|O
25|is|O
25|the|O
25|perfect|O
25|accessory|O
26|Suicide|B-CAUSE-EFFECT
26|is|O
26|one|O
26|of|O
26|the|O
26|leading|O
26|causes|O
26|of|O
26|death|B-CAUSE-EFFECT
26|among|O
26|pre-adolescents|O
26|and|O
26|teens|O
26|and|O
26|victims|O
26|of|O
26|bullying|O
26|are|O
26|at|O
26|an|O
26|increased|O
26|risk|O
26|for|O
26|committing|O
26|suicide|O
27|This|O
27|article|B-MESSAGE-TOPIC
27|gives|O
27|details|O
27|on|O
27|2004|O
27|in|O
27|music|B-MESSAGE-TOPIC
27|in|O
27|the|O
27|United|O
27|Kingdom|O
27|including|O
27|the|O
27|official|O
27|charts|O
27|from|O
27|that|O
27|year|O
28|We|O
28|have|O
28|therefore|O
28|taken|O
28|the|O
28|initiative|O
28|to|O
28|convene|O
28|the|O
28|first|O
28|international|O
28|open|O
28|meeting|B-MESSAGE-TOPIC
28|dedicated|O
28|solely|O
28|to|O
28|rural|B-MESSAGE-TOPIC
28|history|I-MESSAGE-TOPIC
29|The|O
29|timer|B-COMPONENT-WHOLE
29|of|O
29|the|O
29|device|B-COMPONENT-WHOLE
29|automatically|O
29|eliminates|O
29|wasted|O
29|standby|O
29|power|O
29|consumption|O
29|by|O
29|automatically|O
29|turn|O
29|off|O
29|electronics|O
29|plugged|O
29|into|O
29|the|O
29|auto|O
29|off|O
29|outlets|O
30|Bob|O
30|Parks|O
30|made|O
30|a|O
30|similar|O
30|offer|B-MESSAGE-TOPIC
30|in|O
30|a|O
30|phone|B-MESSAGE-TOPIC
30|call|I-MESSAGE-TOPIC
30|made|O
30|earlier|O
30|this|O
30|week|O
31|He|O
31|had|O
31|chest|O
31|pains|O
31|and|O
31|headaches|B-CAUSE-EFFECT
31|from|O
31|mold|B-CAUSE-EFFECT
31|in|O
31|the|O
31|bedrooms|O
32|The|O
32|silver-haired|O
32|author|O
32|was|O
32|not|O
32|just|O
32|laying|O
32|India|O
32|'s|O
32|politician|O
32|saint|O
32|to|O
32|rest|O
32|but|O
32|healing|O
32|a|O
32|generations-old|O
32|rift|O
32|in|O
32|the|O
32|family|O
32|of|O
32|the|O
32|country|B-PRODUCT-PRODUCER
32|'s|O
32|founding|O
32|father|B-PRODUCT-PRODUCER
33|It|O
33|describes|O
33|a|O
33|method|O
33|for|O
33|loading|O
33|a|O
33|horizontal|O
33|stack|B-ENTITY-DESTINATION
33|of|O
33|containers|O
33|into|O
33|a|O
33|carton|B-ENTITY-DESTINATION
34|The|O
34|Foundation|O
34|decided|O
34|to|O
34|repurpose|O
34|the|O
34|building|O
34|in|O
34|order|O
34|to|O
34|reduce|O
34|wear|O
34|and|O
34|tear|O
34|on|O
34|the|O
34|plumbing|B-COMPONENT-WHOLE
34|in|O
34|the|O
34|manor|B-COMPONENT-WHOLE
34|house|I-COMPONENT-WHOLE
34|by|O
34|redirecting|O
34|visitors|O
34|during|O
34|restoration|O
34|projects|O
34|and|O
34|beyond|O
35|The|O
35|technology|O
35|is|O
35|available|O
35|to|O
35|produce|O
35|and|O
35|transmit|O
35|electricity|B-ENTITY-ORIGIN
35|economically|O
35|from|O
35|OTEC|O
35|systems|B-ENTITY-ORIGIN
36|The|O
36|Medicare|O
36|buy-in|O
36|plan|B-OTHER
36|ran|O
36|into|O
36|Senate|O
36|resistance|B-OTHER
37|The|O
37|provinces|B-COMPONENT-WHOLE
37|are|O
37|divided|O
37|into|O
37|counties|B-COMPONENT-WHOLE
37|shahrestan|O
37|and|O
37|subdivided|O
37|into|O
37|districts|O
37|bakhsh|O
37|and|O
37|sub-districts|O
37|dehestan|O
38|Financial|O
38|stress|B-CAUSE-EFFECT
38|is|O
38|one|O
38|of|O
38|the|O
38|main|O
38|causes|O
38|of|O
38|divorce|B-CAUSE-EFFECT
39|Newspapers|B-INSTRUMENT-AGENCY
39|swap|O
39|content|O
39|via|O
39|widgets|O
39|with|O
39|the|O
39|help|O
39|of|O
39|the|O
39|newsgator|O
39|service|B-INSTRUMENT-AGENCY
40|The|O
40|women|B-CAUSE-EFFECT
40|that|O
40|caused|O
40|the|O
40|accident|B-CAUSE-EFFECT
40|was|O
40|on|O
40|the|O
40|cell|O
40|phone|O
40|and|O
40|ran|O
40|thru|O
40|the|O
40|intersection|O
40|without|O
40|pausing|O
40|on|O
40|the|O
40|median|O
41|The|O
41|transmitter|B-CONTENT-CONTAINER
41|was|O
41|discovered|O
41|inside|O
41|a|O
41|bed|O
41|settee|O
41|suite|B-CONTENT-CONTAINER
41|on|O
41|which|O
41|he|O
41|had|O
41|been|O
41|sitting|O
42|The|O
42|Kerala|O
42|backwaters|O
42|are|O
42|a|O
42|chain|B-MEMBER-COLLECTION
42|of|O
42|brackish|O
42|lagoons|B-MEMBER-COLLECTION
42|and|O
42|lakes|O
42|lying|O
42|parallel|O
42|to|O
42|the|O
42|Arabian|O
42|Sea|O
42|coast|O
42|of|O
42|Kerala|O
42|state|O
42|in|O
42|southern|O
42|India|O
43|A|O
43|St|O
43|Paul|O
43|College|O
43|student|B-ENTITY-ORIGIN
43|was|O
43|released|O
43|from|O
43|jail|B-ENTITY-ORIGIN
43|Wednesday|O
43|night|O
43|after|O
43|his|O
43|arrest|O
43|Tuesday|O
43|in|O
43|the|O
43|alleged|O
43|rape|O
43|of|O
43|another|O
43|student|B-ENTITY-ORIGIN
43|on|O
43|campus|O
44|Calluses|B-CAUSE-EFFECT
44|are|O
44|caused|O
44|by|O
44|improperly|O
44|fitting|O
44|shoes|O
44|or|O
44|by|O
44|a|O
44|skin|B-CAUSE-EFFECT
44|abnormality|I-CAUSE-EFFECT
45|Adults|B-INSTRUMENT-AGENCY
45|use|O
45|drugs|B-INSTRUMENT-AGENCY
45|for|O
45|this|O
45|purpose|O
46|The|O
46|councilor|B-INSTRUMENT-AGENCY
46|proposed|O
46|assessing|O
46|infinitival|O
46|complements|O
46|through|O
46|elicitation|B-INSTRUMENT-AGENCY
47|As|O
47|in|O
47|the|O
47|popular|O
47|movie|O
47|Deep|O
47|Impact|O
47|the|O
47|action|O
47|of|O
47|the|O
47|Perseid|O
47|meteor|B-CAUSE-EFFECT
47|shower|I-CAUSE-EFFECT
47|is|O
47|caused|O
47|by|O
47|a|O
47|comet|B-CAUSE-EFFECT
47|in|O
47|this|O
47|case|O
47|periodic|O
47|comet|B-CAUSE-EFFECT
47|Swift-Tuttle|O
48|The|O
48|following|O
48|information|O
48|appeared|O
48|in|O
48|the|O
48|notes|B-OTHER
48|to|O
48|consolidated|O
48|financial|O
48|statements|B-OTHER
48|of|O
48|some|O
48|corporate|O
48|annual|O
48|reports|O
49|HipHop|O
49|appropriates|O
49|the|O
49|symbols|O
49|of|O
49|a|O
49|consumer|O
49|society|O
49|:|O
49|oversized|O
49|diamond|B-OTHER
49|colliers|B-OTHER
49|are|O
49|worn|O
50|The|O
50|radiation|B-CAUSE-EFFECT
50|from|O
50|the|O
50|atomic|O
50|bomb|B-CAUSE-EFFECT
50|explosion|I-CAUSE-EFFECT
50|is|O
50|a|O
50|typical|O
50|acute|O
50|radiation|B-CAUSE-EFFECT
51|The|O
51|ride-on|O
51|boat|B-COMPONENT-WHOLE
51|tiller|B-COMPONENT-WHOLE
51|was|O
51|developed|O
51|by|O
51|engineers|O
51|Arnold|O
51|S|O
51|Juliano|O
51|and|O
51|Dr|O
51|Eulito|O
51|U|O
51|Bautista|O
52|A|O
52|neoplastic|O
52|recurrence|B-CAUSE-EFFECT
52|arose|O
52|from|O
52|an|O
52|extensive|O
52|radiation|B-CAUSE-EFFECT
52|induced|O
52|ulceration|O
53|He|O
53|has|O
53|a|O
53|tattoo|O
53|on|O
53|his|O
53|right|O
53|arm|O
53|and|O
53|scars|B-CAUSE-EFFECT
53|from|O
53|stitches|B-CAUSE-EFFECT
53|on|O
53|his|O
53|right|O
53|elbow|O
54|Whether|O
54|your|O
54|home|O
54|includes|O
54|a|O
54|charm|O
54|of|O
54|finches|O
54|a|O
54|sute|O
54|of|O
54|bloodhounds|O
54|or|O
54|a|O
54|knob|B-MEMBER-COLLECTION
54|of|O
54|toads|B-MEMBER-COLLECTION
54|I|O
54|think|O
54|it|O
54|'s|O
54|important|O
54|to|O
54|keep|O
54|the|O
54|numbers|O
54|within|O
54|reason|O
55|Furthermore|O
55|these|O
55|INGO|O
55|practitioners|O
55|constructed|O
55|a|O
55|discourse|B-MESSAGE-TOPIC
55|around|O
55|participation|B-MESSAGE-TOPIC
55|which|O
55|distorted|O
55|the|O
55|real|O
55|significance|O
55|of|O
55|participation|B-MESSAGE-TOPIC
56|Kelvin|O
56|bought|O
56|a|O
56|silver|B-OTHER
56|ring|B-OTHER
56|which|O
56|he|O
56|was|O
56|so|O
56|happy|O
56|with|O
56|and|O
56|he|O
56|keeps|O
56|wearing|O
56|it|O
56|now|O
56|even|O
56|though|O
56|its|O
56|abit|O
56|too|O
56|big|O
56|haha|O
57|Scientists|O
57|are|O
57|in|O
57|the|O
57|midst|O
57|of|O
57|an|O
57|ongoing|O
57|debate|B-MESSAGE-TOPIC
57|about|O
57|the|O
57|relative|O
57|value|B-MESSAGE-TOPIC
57|of|O
57|openness|O
57|and|O
57|collaboration|O
57|in|O
57|their|O
57|profession|O
58|This|O
58|cut|O
58|blue|O
58|and|O
58|white|O
58|striped|O
58|cotton|O
58|dress|B-CONTENT-CONTAINER
58|with|O
58|red|O
58|bands|O
58|on|O
58|the|O
58|bodice|O
58|was|O
58|in|O
58|a|O
58|trunk|B-CONTENT-CONTAINER
58|of|O
58|vintage|O
58|Barbie|O
58|clothing|O
59|My|O
59|major|O
59|disagreement|B-OTHER
59|with|O
59|Lyons|O
59|concerns|O
59|the|O
59|causal|B-OTHER
59|part|I-OTHER
59|of|O
59|his|O
59|theory|O
60|Both|O
60|his|O
60|feet|B-ENTITY-DESTINATION
60|have|O
60|been|O
60|moving|O
60|into|O
60|the|O
60|ball|B-ENTITY-DESTINATION
61|The|O
61|scissors|O
61|were|O
61|in|O
61|a|O
61|small|O
61|plastic|O
61|soap|O
61|container|O
61|next|O
61|to|O
61|a|O
61|bar|O
61|of|O
61|soap|O
61|and|O
61|the|O
61|box|B-CONTENT-CONTAINER
61|cutters|I-CONTENT-CONTAINER
61|were|O
61|in|O
61|a|O
61|box|B-CONTENT-CONTAINER
61|next|O
61|to|O
61|a|O
61|bottle|O
61|of|O
61|after-shave|O
61|lotion|O
62|A|O
62|great|O
62|wing|B-MEMBER-COLLECTION
62|of|O
62|fluorite|O
62|dragons|B-MEMBER-COLLECTION
62|the|O
62|greatest|O
62|concentration|O
62|of|O
62|the|O
62|rather|O
62|solitary|O
62|dragons|B-MEMBER-COLLECTION
62|ever|O
62|known|O
62|joined|O
62|the|O
62|desperate|O
62|battle|O
62|with|O
62|the|O
62|blues|O
62|and|O
62|silvers|O
62|against|O
62|Chaos|O
63|As|O
63|a|O
63|control|O
63|cowpea|B-ENTITY-DESTINATION
63|was|O
63|sealed|O
63|in|O
63|double|B-ENTITY-DESTINATION
63|bags|I-ENTITY-DESTINATION
63|without|O
63|fumigant|O
64|The|O
64|infectious|O
64|bacterial|O
64|disease|O
64|brucellosis|B-OTHER
64|has|O
64|been|O
64|found|O
64|in|O
64|a|O
64|beef|O
64|cow|B-OTHER
64|in|O
64|eastern|O
64|Idaho|O
65|As|O
65|the|O
65|Anglo-Norman|O
65|force|O
65|sustained|O
65|but|O
65|little|O
65|loss|O
65|in|O
65|this|O
65|battle|O
65|their|O
65|archers|O
65|at|O
65|the|O
65|onset|O
65|showered|O
65|a|O
65|hail|O
65|of|O
65|arrows|O
65|upon|O
65|the|O
65|Irish|O
65|host|O
65|who|O
65|were|O
65|not|O
65|protected|O
65|with|O
65|mail|O
65|armour|O
65|and|O
65|shot|O
65|them|O
65|down|O
65|in|O
65|hundreds|O
65|before|O
65|they|O
65|could|O
65|get|O
65|to|O
65|close|O
65|quarters|O
65|;|O
65|and|O
65|then|O
65|the|O
65|charge|O
65|of|O
65|the|O
65|heavy|O
65|Anglo-Norman|O
65|cavalry|O
65|of|O
65|mail-clad|O
65|knights|O
65|completed|O
65|the|O
65|havoc|O
65|and|O
65|rout|B-OTHER
65|of|O
65|the|O
65|undisciplined|O
65|Gaelic|O
65|hosts|B-OTHER
66|The|O
66|first|O
66|incarnation|O
66|of|O
66|this|O
66|series|O
66|was|O
66|set|O
66|in|O
66|the|O
66|1940s|O
66|during|O
66|World|O
66|War|O
66|II|O
66|when|O
66|the|O
66|princess|B-ENTITY-ORIGIN
66|left|O
66|her|O
66|native|O
66|paradise|O
66|island|B-ENTITY-ORIGIN
66|where|O
66|Amazon|O
66|women|O
66|had|O
66|lived|O
66|for|O
66|centuries|O
66|to|O
66|help|O
66|the|O
66|US|O
66|foil|O
66|the|O
66|Nazis|O
67|Cieply|O
67|'s|O
67|story|B-MESSAGE-TOPIC
67|makes|O
67|a|O
67|compelling|O
67|point|B-MESSAGE-TOPIC
67|about|O
67|modern-day|O
67|studio|O
67|economics|O
68|We|O
68|poured|O
68|the|O
68|milk|B-ENTITY-DESTINATION
68|into|O
68|the|O
68|pumpkin|B-ENTITY-DESTINATION
68|mixture|I-ENTITY-DESTINATION
69|Lawyers|O
69|in|O
69|Detroit|O
69|also|O
69|worked|O
69|overtime|O
69|as|O
69|several|O
69|lawsuits|B-ENTITY-ORIGIN
69|ensued|O
69|from|O
69|angry|O
69|and|O
69|injured|O
69|fans|B-ENTITY-ORIGIN
70|The|O
70|continuing|O
70|Nigerian|O
70|outbreak|B-CAUSE-EFFECT
70|is|O
70|the|O
70|biggest|O
70|ever|O
70|caused|O
70|by|O
70|the|O
70|vaccine|B-CAUSE-EFFECT
71|Our|O
71|mercenary|O
71|Army|O
71|has|O
71|now|O
71|degenerated|O
71|into|O
71|a|O
71|Godless|O
71|cabal|B-MEMBER-COLLECTION
71|of|O
71|mindless|O
71|killers|B-MEMBER-COLLECTION
71|not|O
71|unlike|O
71|the|O
71|Soviets|O
71|that|O
71|were|O
71|butchering|O
71|civilians|O
71|in|O
71|Afghanistan|O
71|exactly|O
71|as|O
71|sadistically|O
71|as|O
71|we|O
71|have|O
72|The|O
72|fire|B-CAUSE-EFFECT
72|inside|O
72|WTC|O
72|was|O
72|caused|O
72|by|O
72|exploding|O
72|fuel|B-CAUSE-EFFECT
73|The|O
73|epithelium|B-ENTITY-DESTINATION
73|from|O
73|the|O
73|knockout|O
73|mouse|O
73|bladder|O
73|is|O
73|migrating|O
73|into|O
73|the|O
73|transplanted|O
73|matrix|B-ENTITY-DESTINATION
74|The|O
74|staff|B-ENTITY-ORIGIN
74|was|O
74|removed|O
74|from|O
74|his|O
74|position|B-ENTITY-ORIGIN
75|The|O
75|suffering|B-CAUSE-EFFECT
75|caused|O
75|by|O
75|the|O
75|terrorists|B-CAUSE-EFFECT
75|is|O
75|the|O
75|real|O
75|torture|O
76|This|O
76|love|B-MESSAGE-TOPIC
76|of|O
76|nature|O
76|'s|O
76|gift|O
76|has|O
76|been|O
76|reflected|O
76|in|O
76|artworks|B-MESSAGE-TOPIC
76|dating|O
76|back|O
76|more|O
76|than|O
76|a|O
76|thousand|O
76|years|O
77|The|O
77|court|B-PRODUCT-PRODUCER
77|decided|O
77|the|O
77|objection|O
77|by|O
77|making|O
77|the|O
77|instalment|O
77|order|B-PRODUCT-PRODUCER
77|as|O
77|sought|O
78|In|O
78|a|O
78|poetic|O
78|twist|O
78|the|O
78|tsunami|B-CAUSE-EFFECT
78|triggered|O
78|by|O
78|the|O
78|rock|O
78|band|B-CAUSE-EFFECT
78|forced|O
78|many|O
78|American|O
78|jazz|O
78|and|O
78|blues|O
78|singers|O
78|to|O
78|seek|O
78|work|O
78|in|O
78|the|O
78|United|O
78|Kingdom|O
78|which|O
78|is|O
78|where|O
78|Anderson|O
78|found|O
78|a|O
78|receptive|O
78|audience|O
78|in|O
78|1965|O
79|Leakage|B-CAUSE-EFFECT
79|and|O
79|fire|O
79|caused|O
79|due|O
79|to|O
79|corrosion|B-CAUSE-EFFECT
79|of|O
79|bypass|O
79|piping|O
79|for|O
79|recirculation|O
79|gas|O
79|at|O
79|a|O
79|fuel|O
79|oil|O
79|desulphurization|O
79|unit|O
80|A|O
80|team|O
80|of|O
80|students|O
80|from|O
80|Virginia|O
80|Tech|O
80|University|O
80|have|O
80|created|O
80|a|O
80|vehicle|O
80|that|O
80|allows|O
80|vision|O
80|impaired|O
80|drivers|B-INSTRUMENT-AGENCY
80|to|O
80|take|O
80|control|O
80|of|O
80|the|O
80|wheel|B-INSTRUMENT-AGENCY
81|BMW|O
81|'s|O
81|iDrive|O
81|40|O
81|brings|O
81|in|O
81|a|O
81|horde|B-MEMBER-COLLECTION
81|of|O
81|new|O
81|features|B-MEMBER-COLLECTION
82|The|O
82|metal|O
82|ball|B-CAUSE-EFFECT
82|makes|O
82|a|O
82|ding|O
82|ding|O
82|ding|O
82|noise|B-CAUSE-EFFECT
82|when|O
82|it|O
82|swings|O
82|back|O
82|and|O
82|hits|O
82|the|O
82|metal|O
82|body|O
82|of|O
82|the|O
82|lamp|O
83|It|O
83|consists|O
83|of|O
83|an|O
83|ensemble|B-MEMBER-COLLECTION
83|of|O
83|ladies|B-MEMBER-COLLECTION
83|who|O
83|are|O
83|highly|O
83|qualified|O
83|to|O
83|play|O
83|various|O
83|Arabic|O
83|musical|O
83|instruments|O
84|It|O
84|underscores|O
84|the|O
84|need|O
84|for|O
84|continued|O
84|surveillance|O
84|of|O
84|nicotine|O
84|delivery|O
84|in|O
84|products|B-PRODUCT-PRODUCER
84|created|O
84|by|O
84|an|O
84|unregulated|O
84|industry|B-PRODUCT-PRODUCER
85|Unlike|O
85|other|O
85|fish|O
85|grunion|O
85|come|O
85|out|O
85|of|O
85|the|O
85|water|O
85|completely|O
85|to|O
85|lay|O
85|their|O
85|eggs|O
85|in|O
85|the|O
85|wet|O
85|sand|B-OTHER
85|of|O
85|the|O
85|beach|B-OTHER
86|A|O
86|large|O
86|marble|B-ENTITY-DESTINATION
86|was|O
86|dropped|O
86|into|O
86|the|O
86|bowl|B-ENTITY-DESTINATION
87|Historical|O
87|view|O
87|of|O
87|the|O
87|damage|B-CAUSE-EFFECT
87|caused|O
87|by|O
87|the|O
87|1693|O
87|Catania|O
87|earthquake|B-CAUSE-EFFECT
87|and|O
87|the|O
87|reconstruction|O
87|activities|O
88|AI|O
88|requested|O
88|that|O
88|the|O
88|perpetrators|O
88|be|O
88|prosecuted|O
88|to|O
88|the|O
88|fullest|O
88|extent|O
88|of|O
88|the|O
88|law|O
88|that|O
88|adequate|O
88|compensation|O
88|be|O
88|provided|O
88|to|O
88|the|O
88|victims|O
88|and|O
88|that|O
88|senior|O
88|government|O
88|and|O
88|police|O
88|officials|O
88|offer|O
88|apologies|O
88|for|O
88|the|O
88|suffering|B-CAUSE-EFFECT
88|caused|O
88|by|O
88|the|O
88|responsible|O
88|police|O
88|officers|B-CAUSE-EFFECT
89|The|O
89|findings|B-OTHER
89|have|O
89|been|O
89|published|O
89|in|O
89|a|O
89|special|O
89|section|B-OTHER
89|of|O
89|the|O
89|academic|O
89|journal|O
89|Archives|O
89|of|O
89|Sexual|O
89|Behavior|O
90|An|O
90|Amtrak|O
90|passenger|B-ENTITY-ORIGIN
90|who|O
90|alarmed|O
90|fellow|O
90|passengers|O
90|by|O
90|talking|O
90|about|O
90|terrorist|O
90|threats|O
90|on|O
90|a|O
90|cellphone|O
90|was|O
90|pulled|O
90|from|O
90|the|O
90|train|B-ENTITY-ORIGIN
90|and|O
90|is|O
90|being|O
90|held|O
90|in|O
90|Colorado|O
91|The|O
91|introduction|B-COMPONENT-WHOLE
91|in|O
91|the|O
91|book|B-COMPONENT-WHOLE
91|is|O
91|a|O
91|summary|O
91|of|O
91|what|O
91|is|O
91|in|O
91|the|O
91|text|O
92|The|O
92|second|O
92|simulation|B-ENTITY-ORIGIN
92|was|O
92|started|O
92|from|O
92|the|O
92|uncomplexed|O
92|x-ray|O
92|structure|B-ENTITY-ORIGIN
92|after|O
92|insertion|O
92|of|O
92|the|O
92|ligand|O
92|into|O
92|the|O
92|binding|O
92|site|O
93|This|O
93|user|B-INSTRUMENT-AGENCY
93|plays|O
93|games|O
93|on|O
93|a|O
93|portable|O
93|console|B-INSTRUMENT-AGENCY
94|The|O
94|ambitious|O
94|Eurasia|O
94|exhibition|B-ENTITY-ORIGIN
94|arose|O
94|from|O
94|an|O
94|idea|B-ENTITY-ORIGIN
94|by|O
