文本内容|实体关系1
The singer  who performed three of the nominated songs also caused a commotion on the red carpet|{[4,10],NN},{[69,78],VBP},Cause-Effect
His intellectually engaging books and essays remain pertinent to illuminating contemporary history |{[38,44],NN},{[91,98],NN},Other
Poor hygiene controls reports of a brace of gamey grouse and what looked like a skinned fox all amounted to a pie that was unfit for human consumption|{[50,56],NN},{[35,40],NN},Member-Collection
This sweet dress is made with a blend of cotton and silk and the crochet flower necklace is the perfect accessory|{[11,16],NN},{[32,37],NN},Other
 Suicide is one of the leading causes of death among pre-adolescents and teens and victims of bullying are at an increased risk for committing suicide|{[1,8],NN},{[41,46],VBZ},Cause-Effect
This article gives details on 2004 in music in the United Kingdom including the official charts from that year|{[5,12],NN},{[38,43],JJ},Message-Topic
We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history |{[79,86],NN},{[107,120],JJ},Message-Topic
The timer of the device automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets|{[4,9],NN},{[17,23],NN},Component-Whole
Bob Parks made a similar offer in a phone call made earlier this week|{[36,46],NN},{[25,30],NN},Message-Topic
He had chest pains and headaches from mold in the bedrooms|{[38,42],MD},{[23,32],VBZ},Cause-Effect
The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country 's founding father |{[134,141],VBP},{[154,160],DT},Product-Producer
It describes a method for loading a horizontal stack of containers into a carton |{[47,52],VBZ},{[74,80],DT},Entity-Destination
The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond|{[89,97],NN},{[105,116],DT},Component-Whole
The technology is available to produce and transmit electricity economically from OTEC systems |{[52,63],NN},{[87,94],NN},Entity-Origin
The Medicare buy-in plan ran into Senate resistance |{[20,24],VBZ},{[41,51],NN},Other
The provinces are divided into counties shahrestan and subdivided into districts bakhsh and sub-districts dehestan|{[31,39],VBP},{[4,13],NN},Component-Whole
Financial stress is one of the main causes of divorce |{[10,16],NN},{[46,53],NN},Cause-Effect
 Newspapers swap content via widgets with the help of the newsgator service |{[68,75],NN},{[1,11],NN},Instrument-Agency
The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median|{[4,9],MD},{[26,34],JJ},Cause-Effect
The transmitter was discovered inside a bed settee suite on which he had been sitting|{[4,15],VBZ},{[51,56],NN},Content-Container
The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India|{[46,53],DT},{[28,33],VBP},Member-Collection
A St Paul College student was released from jail Wednesday night after his arrest Tuesday in the alleged rape of another student on campus|{[18,25],NN},{[44,48],DT},Entity-Origin
 Calluses are caused by improperly fitting shoes or by a skin abnormality |{[57,73],NN},{[1,9],DT},Cause-Effect
 Adults use drugs for this purpose|{[12,17],NN},{[1,7],NN},Instrument-Agency
The councilor proposed assessing infinitival complements through elicitation |{[65,76],NN},{[4,13],VBP},Instrument-Agency
As in the popular movie Deep Impact the action of the Perseid meteor shower is caused by a comet  in this case periodic comet Swift-Tuttle|{[91,96],VBP},{[62,75],NN},Cause-Effect
The following information appeared in the notes to consolidated financial statements of some corporate annual reports|{[42,47],NN},{[74,84],VBZ},Other
HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn|{[65,72],VBZ},{[73,81],VBP},Other
The radiation from the atomic bomb explosion is a typical acute radiation|{[30,44],NN},{[4,13],DT},Cause-Effect
The ride-on boat tiller was developed by engineers Arnold S Juliano and Dr Eulito U Bautista|{[17,23],NN},{[12,16],VBZ},Component-Whole
A neoplastic recurrence arose from an extensive radiation induced ulceration|{[48,57],DT},{[13,23],NN},Cause-Effect
He has a tattoo on his right arm and scars from stitches on his right elbow|{[48,56],NN},{[37,42],VBZ},Cause-Effect
Whether your home includes a charm of finches a sute of bloodhounds or a knob of toads  I think it's important to keep the numbers within reason|{[81,86],VBZ},{[73,77],CC},Member-Collection
Furthermore these INGO practitioners constructed a discourse around participation which distorted the real significance of participation|{[51,60],NN},{[68,81],DT},Message-Topic
Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha|{[16,22],NN},{[23,27],NN},Other
Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession|{[42,48],NN},{[68,73],DT},Message-Topic
This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing|{[39,44],NN},{[83,88],NN},Content-Container
My major disagreement with Lyons concerns the causal part of his theory|{[9,21],NN},{[46,57],DT},Other
Both his feet have been moving into the ball |{[9,13],NN},{[40,44],DT},Entity-Destination
The scissors were in a small plastic soap container next to a bar of soap and the box cutters were in a box next to a bottle of after-shave lotion|{[82,93],NN},{[82,85],NN},Content-Container
A great wing of fluorite dragons  the greatest concentration of the rather solitary dragons ever known joined the desperate battle with the blues and silvers against Chaos|{[25,32],VBZ},{[8,12],NN},Member-Collection
As a control cowpea was sealed in double bags without fumigant|{[13,19],VBP},{[34,45],NN},Entity-Destination
The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho|{[33,44],NN},{[70,73],VBP},Other
As the Anglo-Norman force sustained but little loss in this battle their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights completed the havoc and rout of the undisciplined Gaelic hosts |{[351,355],MD},{[384,389],MD},Other
The first incarnation of this series was set in the 1940s during World War II when the princess left her native paradise island where Amazon women had lived for centuries to help the US foil the Nazis|{[87,95],NN},{[121,127],VBP},Entity-Origin
Cieply's story makes a compelling point about modern-day studio economics|{[9,14],NN},{[34,39],NN},Message-Topic
We poured the milk into the pumpkin mixture |{[14,18],NN},{[28,43],JJ},Entity-Destination
Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans |{[51,59],DT},{[90,94],DT},Entity-Origin
The continuing Nigerian outbreak is the biggest ever caused by the vaccine |{[67,74],DT},{[24,32],JJ},Cause-Effect
Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan exactly as sadistically as we have|{[72,79],NN},{[54,59],DT},Member-Collection
The fire inside WTC was caused by exploding fuel |{[44,48],JJ},{[4,8],NN},Cause-Effect
The epithelium from the knockout mouse bladder is migrating into the transplanted matrix |{[4,14],NN},{[82,88],DT},Entity-Destination
The staff was removed from his position |{[4,9],VBZ},{[31,39],IN},Entity-Origin
The suffering caused by the terrorists is the real torture|{[28,38],NN},{[4,13],JJ},Cause-Effect
This love of nature's gift has been reflected in artworks dating back more than a thousand years|{[49,57],NN},{[5,9],MD},Message-Topic
The court decided the objection by making the instalment order as sought|{[57,62],NN},{[4,9],VBP},Product-Producer
In a poetic twist the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom which is where Anderson found a receptive audience in 1965|{[52,56],DT},{[22,29],NN},Cause-Effect
 Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit|{[32,41],VBP},{[1,8],VBZ},Cause-Effect
A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel |{[131,136],NN},{[100,107],NN},Instrument-Agency
BMW's iDrive 40 brings in a horde of new features |{[41,49],VBZ},{[28,33],MD},Member-Collection
The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp|{[10,14],DT},{[38,43],NN},Cause-Effect
It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments|{[30,36],DT},{[18,26],CC},Member-Collection
It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry |{[75,83],NN},{[110,118],VBP},Product-Producer
Unlike other fish grunion come out of the water completely to lay their eggs in the wet sand of the beach |{[88,92],DT},{[100,105],VBZ},Other
A large marble was dropped into the bowl |{[8,14],DT},{[36,40],NN},Entity-Destination
Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities|{[57,67],DT},{[23,29],DT},Cause-Effect
AI requested that the perpetrators be prosecuted to the fullest extent of the law that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers |{[251,259],NN},{[208,217],JJ},Cause-Effect
The findings have been published in a special section of the academic journal Archives of Sexual Behavior|{[4,12],NN},{[46,53],NN},Other
An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado|{[10,19],DT},{[120,125],VBZ},Entity-Origin
The introduction in the book is a summary of what is in the text|{[4,16],VBP},{[24,28],NN},Component-Whole
The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site|{[11,21],NN},{[61,70],NN},Entity-Origin
This user plays games on a portable console |{[36,43],VBP},{[5,9],NN},Instrument-Agency
The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva|{[22,32],''},{[47,51],VBP},Entity-Origin
The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away|{[97,101],MD},{[4,10],NN},Instrument-Agency
The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash |{[216,221],VBP},{[172,181],NN},Cause-Effect
In the corner there are several gate captains and a legion of Wu crossbowmen |{[65,76],VBP},{[52,58],NN},Member-Collection
Once they grow there the swelling and inflammation caused by the infection closes off the sac causing it not to shed bacteria and protecting the bacteria inside from antibiotics and your body's own immune cells|{[65,74],VBP},{[25,33],NN},Cause-Effect
Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar which acts as a large hollow resonating chamber or they may rely on an amplifier that can electronically manipulate tone|{[61,70],NN},{[37,41],MD},Cause-Effect
Flowers are reborn from the soil and the climate begins to warm all set to a score improvised by an orchestra of birds|{[77,82],NN},{[100,109],NN},Other
He posted the answers to the website |{[14,21],JJ},{[29,36],NN},Entity-Destination
Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank though the threat caused by the spell is minimal|{[106,111],NN},{[28,34],NN},Cause-Effect
A programmer uses a high level language to implement its algorithms|{[31,39],DT},{[2,12],NN},Instrument-Agency
The beautiful hydrothermal features in the park geysers hot springs mud pots etc the uplift and subsidence and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids|{[153,162],MD},{[123,134],DT},Cause-Effect
Flowers are nice but don't last very long and the fruit in a fruit basket often goes bad|{[50,55],NN},{[67,73],DT},Content-Container
He decided to pad the heel of shoes with a shock absorbing insole or heel pad|{[22,26],NN},{[30,35],NN},Component-Whole
From the Scots Lingle and French Ligneul Lignoul comes a shoemaker 's sewing thread  waxed and bristled See Waxed End|{[77,83],NN},{[57,66],NN},Instrument-Agency
One tablet per quart was dropped into a canteen and made the water safe to drink|{[4,10],DT},{[40,47],DT},Entity-Destination
The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus one of his most acclaimed works|{[9,14],VBP},{[56,62],DT},Content-Container
Then I swept up the dust which looked like sawdust and put it in a plastic container  which was in a cabinet under the granite counter top|{[67,84],VBZ},{[101,108],DT},Content-Container
In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium|{[25,32],JJ},{[65,73],MD},Entity-Origin
In this comprehensive guide  over 850 roses are described illustrated and arranged by group|{[22,27],NN},{[38,43],MD},Message-Topic
 Chestnut flour was more common than wheat flour in the Italian Alps a century ago|{[10,15],NN},{[1,9],NN},Entity-Origin
For us the term artists ' book simply means a book made by an artist; a book made as a work of art rather than as a literary artifact|{[26,30],NN},{[16,23],NN},Product-Producer
My parents bought her a silver necklace almost identical to the one pictured|{[24,30],NN},{[31,39],NN},Other
Forward motion of the vehicle through the air caused a suction on the road draft tube|{[8,14],IN},{[55,62],JJ},Cause-Effect
Paul Friedrich guides us through a babel of words  and worlds of the imagination ranging from his translations from five languagesnotably the Russian of his literary studies to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways a Vermont farm father and child|{[35,40],DT},{[44,49],MD},Other
The picture below shows a view chapel and west range of the inner courtyard of the castle |{[66,75],VBP},{[83,89],DT},Component-Whole
I was attacked by a flock of pigeons today|{[29,36],NN},{[20,25],NN},Member-Collection
That decision was also the subject of an unsuccessful legal challenge |{[5,13],NN},{[54,69],NN},Other
The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C|{[36,42],NN},{[84,91],VBZ},Entity-Origin
Individual investors moved into the property |{[11,20],VBP},{[36,44],NN},Entity-Destination
One of the trickiest questions to answer in an interview relates to salary |{[21,30],JJ},{[68,74],DT},Message-Topic
This tradition has been narrated in prophet's early biographies |{[52,63],NN},{[5,14],VBZ},Message-Topic
A thief who tried to steal the truck broke the igenition with screwdriver |{[62,73],NN},{[2,7],NN},Instrument-Agency
After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum but even so it was normally fielded with attached auxiliary skirmishers and missile troops and incorporated a small cavalry unit|{[67,78],VBP},{[53,57],NN},Member-Collection
The prosecutors carried guns into the court room |{[24,28],JJ},{[38,48],VBP},Entity-Destination
The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches and impeded access to personal accounts that allow users to renew or hold books online|{[4,16],DT},{[34,40],NN},Cause-Effect
 Chemical weapons have been dropped into the lake |{[1,17],NN},{[45,49],DT},Entity-Destination
Many other dwarves also hailed from this infamous clan |{[11,18],VBZ},{[50,54],VBP},Entity-Origin
The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court|{[4,8],NN},{[14,24],NN},Component-Whole
Global digital music sales grow as the music industry develops new business models |{[76,82],MD},{[45,53],VBP},Product-Producer
The devices were manufactured at the factory in Beaverton well into the 1980s when production was shifted elsewhere and portions of the factory sold|{[4,11],NN},{[37,44],DT},Product-Producer
An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future|{[181,188],VBZ},{[158,164],JJ},Member-Collection
The train ride from station to station is approximate 30 minutes|{[4,14],VBZ},{[20,27],VBZ},Other
The archaeological site yields relics from long-forgotten culture |{[31,37],NN},{[58,65],JJ},Entity-Origin
A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems|{[2,6],DT},{[23,36],JJ},Other
Water damage from roof leaks plumbing leaks or flooding lead to the growth of molds|{[6,12],DT},{[68,74],NN},Cause-Effect
Warm weather is here and with it comes the scourge of mosquitoes |{[43,50],NN},{[54,64],MD},Other
The formation of struvite stones is associated with the presence of urea-splitting bacteria most commonly Proteus mirabilis but also Klebsiella Serratia Providencia species|{[4,13],MD},{[26,32],NN},Other
Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River thereby materially assisting the progress of the French armies on our right and left against whom the enemy was making his greatest efforts |{[211,216],CC},{[241,248],NNS},Other
So when William did cross the Boyne on July 1st 1690 he had an army consisting of the riffraff of Europe's mercenaries |{[107,118],NN},{[86,94],NN},Member-Collection
The overall geometry of the heart was extracted from the intensity data |{[12,20],NN},{[67,71],DT},Entity-Origin
The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position|{[24,30],VBP},{[4,14],NN},Cause-Effect
Flames of purple pink yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean|{[69,78],MD},{[60,65],VBP},Member-Collection
Out of the early morning haze a convoy of articulated lorries pulls into the Gashouder square|{[54,61],NN},{[32,38],VBP},Member-Collection
This book has transported readers into ancient times |{[26,33],VBZ},{[39,52],JJ},Entity-Destination
We always try to maintain the best environment for programmers  starting with good salary and conducive working environment|{[35,46],CC},{[51,62],NN},Other
Indeed a green or black basalt heart scarab was found put inside the body in its place|{[37,43],VBZ},{[69,73],NN},Content-Container
The first motorcycle was manufactured in a small wood building with only one room|{[10,20],MD},{[54,62],NN},Entity-Origin
The water pushed to the coast resulted in tides as much as three feet above normal with waves of 5-10 feet atop these tides|{[4,9],DT},{[42,47],NN},Cause-Effect
The chapters in this book investigate issues and communities|{[4,12],VBP},{[38,44],VBP},Message-Topic
He rescheduled the birthday party to the next day |{[28,33],DT},{[41,49],NN},Entity-Destination
The bacterial aerosol was generated from an up-draft nebulizer |{[53,62],NN},{[4,21],DT},Product-Producer
 People have travelled into space  but not the deep ocean|{[1,7],NN},{[28,33],VBZ},Entity-Destination
For those of you who are unsure what Afrikaans is it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya Indonesia Madagascar and West Africa|{[58,66],DT},{[120,128],NN},Entity-Origin
 Beaver dams are created as a protection against predators such as coyotes wolves and bears and to provide easy access to food during winter|{[8,12],DT},{[1,7],VBZ},Product-Producer
So the theme of the play has to do with religion |{[20,24],VBZ},{[40,48],NN},Message-Topic
There has been intense debate over the circles' origins |{[23,29],NN},{[48,55],NN},Message-Topic
I have recently developed creases in my ear lobes |{[44,49],NN},{[40,43],DT},Component-Whole
Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor  the commodity was largely used by companies making Indian Made Foreign Liquor IMFL|{[82,88],NN},{[28,35],NN},Entity-Origin
Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane|{[74,82],VBZ},{[14,18],NN},Instrument-Agency
The province comprises the southeastern part of Panay Island with island-province of Guimaras just across its coast|{[40,44],DT},{[4,12],NN},Component-Whole
The charge is the source of an electric field  which carries energy-the electrostatic self-energy|{[4,10],VBP},{[40,45],NN},Cause-Effect
The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere|{[45,52],NN},{[4,13],DT},Cause-Effect
The key was in a chest |{[4,7],VBZ},{[17,22],VBP},Content-Container
The residue was distilled from an Arbuzov flask |{[4,11],NN},{[42,47],VBZ},Entity-Origin
As the Gondorians moved forward the evil force started to withdraw unleashing a rain of deadly arrows into the heavily armoured Gondorians|{[95,101],NN},{[80,84],DT},Member-Collection
It is a medieval Latin manuscript relating the early history of the Isle of Man|{[23,33],DT},{[53,60],NN},Message-Topic
The river had now turned into full flood after the deluge of rain a few days ago|{[51,57],NN},{[35,40],NN},Cause-Effect
He stopped rowing when the boat was opposite to the paddle wheel of the steamer and the steamer stopped her engine at the same time|{[108,114],CC},{[72,79],NN},Component-Whole
This is the umbrella that peels the potatoes with a pencil and makes a pink ink with the peelings stood up|{[52,58],NN},{[12,20],NN},Instrument-Agency
This American-style wheat ale is a light unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass|{[26,29],NN},{[20,25],NN},Entity-Origin
The car left the plant |{[4,7],DT},{[17,22],VBZ},Entity-Origin
Our experience extends to 15 years continued promotion of this archipelago of nine islands |{[83,90],VBP},{[63,74],NN},Component-Whole
To separate the solids at the end of the experiment the clay was contained in a semi- permeable membrane tubing |{[56,60],VBP},{[96,111],NN},Content-Container
This machine is blowing sand into molds |{[24,28],DT},{[34,39],MD},Entity-Destination
The cultivation consisted of plowing the crop with a double-shovel plow |{[4,15],JJ},{[29,33],NN},Other
The final chapter offers a theological survey of the use of the formula|{[10,17],VBP},{[27,45],NN},Message-Topic
She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these|{[42,53],MD},{[18,25],VBZ},Cause-Effect
Isolated fractures of the shaft of the ulna  without other fractures often result when the forearm is raised to fend off a blow|{[26,31],VBZ},{[39,43],NN},Component-Whole
We have placed the candidates into roles |{[19,29],DT},{[35,40],MD},Other
Frequent agitations throw academic life into disarray |{[35,39],NN},{[45,53],NN},Other
Still other examples of the potter 's ceramics are clad in slinky assortments of tassels and beads|{[38,46],VBP},{[28,34],MD},Product-Producer
The nasal cavity of birds contains turbinates Bang 1971 cartilaginous structures that are thought to have as one of their functions water recovery from air|{[4,16],DT},{[20,25],NN},Component-Whole
Thus in simple words a tendon attaches a muscle to a bone|{[23,29],NN},{[41,47],JJ},Other
 Positions were denoted by black dots along the tracks the adjacent numbers indicating the day of the month|{[1,10],MD},{[27,37],NN},Other
The World Health OrganizationWHO found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki|{[85,93],JJ},{[48,57],DT},Cause-Effect
My dog ate a cellophane bag full of dog treats on Tuesday|{[36,46],MD},{[13,27],VBP},Content-Container
The owl held the mouse in its claw |{[30,34],VBP},{[4,7],NN},Component-Whole
This is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn |{[61,64],DT},{[107,111],DT},Entity-Destination
Police foiled an attempt to kill an artist who drew a cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world|{[54,61],DT},{[36,42],NN},Product-Producer
When Woody Harrelson received a copy of the screenplay for Zombieland last year he stuffed the paper into his duffel bag of unread scripts and promptly forgot about it|{[95,100],DT},{[117,120],DT},Entity-Destination
The city is a treasure trove of terrific libraries  interesting museums and wonderful Victorian architecture complemented by the incomparable work of Scotland's greatest architect Charles Rennie Mackintosh|{[41,50],NN},{[14,28],NN},Member-Collection
We leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page|{[13,17],DT},{[25,29],NN},Component-Whole
The Mapungubwe Collection at the University of Pretoria features remarkable works from the largely forgotten kingdom of Mapungubwe that flourished near the confluence of the Limpopo and Shashe Rivers between 1000 and 1300 AD|{[76,81],MD},{[109,116],NN},Entity-Origin
Also in the midst of the confusion caused by the coup  the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion|{[49,53],VBP},{[25,34],VBP},Cause-Effect
The title is taken from an 1813 book by a Virginia planter and senator named John Taylor|{[32,36],NN},{[51,58],VBZ},Product-Producer
In the same way a society is built up of many individuals |{[46,57],VBP},{[18,25],IN},Member-Collection
The scientist approached the big cat with a notepad and a pencil in her hands|{[44,51],NN},{[4,13],NN},Instrument-Agency
The bottom photo is from the New York public library |{[11,16],NN},{[45,52],NN},Entity-Origin
The accident caused a major traffic snarl on the arterial road|{[4,12],JJ},{[36,41],VBZ},Cause-Effect
Two plane crash survivors have paid a special visit to the Hutt Hospital surgeon whose team helped to re-build their shattered faces eight years ago|{[73,80],JJ},{[87,91],VBZ},Other
The dress was in a trunk dated summer of 1938 along with several other dresses from this same period|{[4,9],NN},{[19,24],NN},Content-Container
The various forms of idealistic materialistic and agnostic philosophies are subject to the tension caused by the indicated situation |{[123,132],NN},{[91,98],NN},Cause-Effect
From him Cain learns that Alexis had survived his suicide and became the leader of that organization  renaming it Delilah|{[73,79],VBZ},{[88,100],NN},Member-Collection
James Hagler Venice's director of historical resources has completed a picture book of the area's buildings|{[79,83],NN},{[22,30],NN},Product-Producer
A program has fetched data into host variable arrays |{[22,26],DT},{[46,52],NN},Entity-Destination
Recently only insignificant things arrive to theatres |{[28,34],NN},{[45,53],NN},Entity-Destination
Tissue damage and electrode corrosion are both associatcd with high charge density stimulation|{[18,27],NN},{[28,37],VBP},Other
Two of Walters's fingers are inside the koala 's pouch |{[49,54],MD},{[40,45],VBZ},Component-Whole
In a former residence your writer had an atrium containing a duel of doves moles numbering 22|{[75,80],MD},{[61,65],JJ},Member-Collection
To stand up to the wind umbrella frames are strong yet flexible|{[33,39],VBZ},{[24,32],NN},Component-Whole
 Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve|{[102,112],VBP},{[1,13],MD},Cause-Effect
A 15 minute plane drive from runway to terminal is uncommon|{[12,17],VBZ},{[29,35],JJ},Entity-Origin
The geometric skeleton is derived from a static object using an implicit 'directions' method|{[14,22],NN},{[48,54],NN},Entity-Origin
The filmmakers dug a large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines|{[27,31],MD},{[4,14],NN},Product-Producer
It is a monthly report providing opinion and advice on current United States government contract issues|{[16,22],NN},{[33,40],NN},Message-Topic
 Governments  frightened of losing votes resolved the crisis through subsidization |{[69,82],NN},{[1,12],MD},Instrument-Agency
For Christmas Daniel gave Kelly a Tiffany bracelet and for Valentine's Day he bought a diamond necklace |{[87,94],VBZ},{[95,103],NN},Other
We also passed a wake of turkey buzzards  and I was again glad to not be driving because my car and I both have shaky nerves still from the Great Turkey Buzzard Incident of '08|{[32,40],JJ},{[17,21],DT},Member-Collection
Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet|{[30,35],NN},{[8,13],DT},Cause-Effect
The sensor was manufactured in a cost effective thin film process |{[4,10],NN},{[58,65],NN},Other
The putative left we see is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism and therefore to remove it from the ordinary processes of criminal law and sanction which are already quite draconian in these United States and to animate parallel systems of harsher surveillance and punishment for the political compeers of such criminals |{[372,380],VBP},{[389,398],NN},Other
The list of the 10 Most Beautiful Women posted on the official Web site of the 2009 Australian Open was filled with sleek thin images |{[127,133],VBP},{[4,8],NN},Component-Whole
The rope of the prayer-bell was there in a perfect state and coiled up|{[4,8],MD},{[16,27],VBZ},Component-Whole
One man pours on a liquid while the other man stirs the mixture with a wooden paddle or spatula|{[78,84],DT},{[4,7],DT},Instrument-Agency
Besides the Chinese case also challenges some ideas of RSS theory including the concept of alliance of different social classes and the role of working class in democratization|{[120,127],VBP},{[91,99],NN},Member-Collection
As the US and Colombian military put pressure on drug traffickers operations are migrating into nearby countries |{[66,76],NN},{[96,112],VBZ},Entity-Destination
A conical cover preserved in a ewer in Athens accords extremely well with the form of these vessels|{[10,15],VBP},{[31,35],NN},Content-Container
The front of the boring machine contains tungsten-tipped picks that workers guide with the use of laser projections on video screens|{[57,62],NN},{[24,31],DT},Component-Whole
